rt, mae, std
0, 6.59, 0.11
0.1, 19.36, 0.88
0.5, 20.65, 1.06
1.0, 21.14, 1.25
1.5, 22.18, 1.59
2.0, 22.64, 1.96
3.0, 22.78, 2.28
