rt, mae, std
0, 8.57, 0.19
0.1, 18.21, 0.92
0.5, 20.01, 1.21
1.0, 21.89, 1.56
1.5, 22.34, 1.79
2.0, 22.43, 1.99
3.0, 22.54, 2.23
