,db,mae,std
0.1,-10.0,22.901489145890313,0.8223128981044177
0.5,-3.010299956639812,22.314567410314282,1.2202514474423103
1.0,0.0,20.725017535137642,1.0515263630120892
10.0,10.0,12.819677936075879,0.44434654358730347
100.0,20.0,9.01928981782981,0.2978878840985096
1000.0,30.0,7.64831774961323,0.21328505772460815
10000.0,40.0,7.030847809556439,0.16611867759397206
100000.0,50.0,6.70834080783829,0.14845460968726354
1000000.0,60.0,6.615104460580823,0.12676916511258507
